SiteID,Lat_n83,Lon_n83,UTMX_E,UTMY_N,UTMX_E_end,UTMY_N_end,UtmZone,Datum,Total Drainage Area,Stream Reach Length,Percent Forest,Percent Developed,Percent Impervious,Percent Wetland,Percent Open Water,Average Catchment Slope,Stream Reach Slope,Average Maximum Annual  Temperature,Average Minimum Annual  Temperature,Average Annual Precip,Average Winter Precip,Average November Precip,Average Summer Precip,Average Monthly Precipitation (All 12 months),Surficial Coarseness,"Percent ""Sandy""",Soil Drainage Class,Road Crossings per kilometer,Basin Elevation,Reach Elevation
1F001,38.8242879084,-78.2032871618,742790.932849,4300994.48565,742870.057224,4301039.48469,17N,NAD83,,,,,,,,,,,,,,,,,,,,,,
1F002,38.8280348223,-78.1888111829,744035.048688,4301448.97494,744114.610841,4301392.97571,17N,NAD83,,,,,,,,,,,,,,,,,,,,,,
1F003,38.7030159382,-78.2686587673,737516.955038,4287362.21575,737893.917364,4287144.67954,17N,NAD83,,,,,,,,,,,,,,,,,,,,,,
1F003_1,38.7015447651,-78.2633624412,737982.480032,4287212.68009,,,17N,NAD83,,,,,,,,,,,,,,,,,,,,,,
1F003_2,38.7011771143,-78.2661189306,737743.949534,4287164.71146,,,17N,NAD83,,,,,,,,,,,,,,,,,,,,,,
1F004,38.7043761606,-78.2696307481,737427.915531,4287510.66978,737327.915237,4287510.66842,17N,NAD83,,,,,,,,,,,,,,,,,,,,,,
1F005,38.7105022565,-78.2757945602,736871.600447,4288174.65571,736821.600223,4288224.65453,17N,NAD83,,,,,,,,,,,,,,,,,,,,,,
1F006,38.7156327464,-78.3814348133,727668.383623,4288476.02348,727762.884017,4288443.52525,17N,NAD83,,,,,,,,,,,,,,,,,,,,,,
1F007,38.7121291606,-78.3706483724,728617.512625,4288114.04162,728667.512781,4288114.04232,17N,NAD83,,,,,,,,,,,,,,,,,,,,,,
1F008,38.7115890034,-78.3592752815,729608.265796,4288082.55585,729664.890864,4288125.0561,17N,NAD83,,,,,,,,,,,,,,,,,,,,,,
1F030,38.6950664225,-78.2793588392,736612.539702,4286452.16919,736525.164386,4286501.16755,17N,NAD83,,,,,,,,,,,,,,,,,,,,,,
1F031,38.6968622036,-78.2829697137,736292.538521,4286642.16307,736185.53815,4286687.1612,17N,NAD83,,,,,,,,,,,,,,,,,,,,,,
1F056,38.8062488553,-78.1543395988,747103.348825,4299123.50594,747013.474258,4299163.00555,17N,NAD83,,,,,,,,,,,,,,,,,,,,,,
1F057,38.8068468083,-78.1572504394,746848.475217,4299182.0057,746754.475736,4299202.00563,17N,NAD83,,,,,,,,,,,,,,,,,,,,,,
1F058,38.8069579057,-78.1614457812,746483.727464,4299183.0067,746386.228138,4299159.00737,17N,NAD83,,,,,,,,,,,,,,,,,,,,,,
1F116,38.7148164264,-78.343061129,731007.894207,4288481.57049,731054.581812,4288499.57093,17N,NAD83,,,,,,,,,,,,,,,,,,,,,,
1F117,38.7270917723,-78.3363241917,731554.080341,4289861.06174,731592.767901,4289892.56194,17N,NAD83,,,,,,,,,,,,,,,,,,,,,,
1F118,38.7483578149,-78.3244506558,732517.39112,4292251.54829,732535.703592,4292298.04804,17N,NAD83,,,,,,,,,,,,,,,,,,,,,,
